source,dbid,taxon,action,note,barcode
GENBANK,1008909663,Galeus melastomus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,1011092589,Chelon auratus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,1011092609,Mugil cephalus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,1011092613,Mugil cephalus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,1013181152,Thunnus thynnus,REMOVE,Blasts as Thunnus albacares & Thunnus obesus,coi.lerayxt
GENBANK,1013181176,Thunnus thynnus,REMOVE,Blasts as Thunnus orientalis,coi.lerayxt
GENBANK,1013181222,Anguilla anguilla,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,1013181223,Anguilla anguilla,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,1013873805,Salmo trutta,REMOVE,Blasts as Salvelinus alpinus,coi.lerayxt
GENBANK,1052251477,Syngnathus acus,REMOVE,Blasts as Syngnathus typhle,coi.lerayxt
GENBANK,1071035866,Ammodytes tobianus,REMOVE,Blasts as Hyperoplus lanceolatus,coi.lerayxt
GENBANK,1071035876,Ammodytes tobianus,REMOVE,Blasts as Hyperoplus lanceolatus,coi.lerayxt
GENBANK,1071035888,Ammodytes tobianus,REMOVE,Blasts as Hyperoplus lanceolatus,coi.lerayxt
GENBANK,1071035914,Ammodytes tobianus,REMOVE,Blasts as Hyperoplus lanceolatus,coi.lerayxt
GENBANK,1071035926,Ammodytes tobianus,REMOVE,Blasts as Hyperoplus lanceolatus,coi.lerayxt
GENBANK,1071035934,Ammodytes tobianus,REMOVE,Blasts as Hyperoplus lanceolatus,coi.lerayxt
GENBANK,1084353012,Ammodytes tobianus,REMOVE,Blasts as Hyperoplus lanceolatus,coi.lerayxt
GENBANK,1084353046,Neogobius melanostomus,REMOVE,Bad quality sequence?,coi.lerayxt
GENBANK,1084353060,Pomatoschistus microps,REMOVE,Bad quality sequence?,coi.lerayxt
GENBANK,1084353062,Pomatoschistus minutus,REMOVE,Bad quality sequence?,coi.lerayxt
GENBANK,1084353064,Pomatoschistus minutus,REMOVE,Sativa: Nested in a cluster of Pomatoschistus microps,coi.lerayxt
GENBANK,1084353066,Pomatoschistus minutus,REMOVE,Sativa: Nested in a cluster of Pomatoschistus microps,coi.lerayxt
GENBANK,1084353068,Pomatoschistus minutus,REMOVE,Sativa: Nested in a cluster of Pomatoschistus microps,coi.lerayxt
GENBANK,1084353070,Pomatoschistus minutus,REMOVE,Sativa: Nested in a cluster of Pomatoschistus microps,coi.lerayxt
GENBANK,1084353072,Pomatoschistus minutus,REMOVE,Sativa: Nested in a cluster of Pomatoschistus microps,coi.lerayxt
GENBANK,1084353074,Pomatoschistus minutus,REMOVE,Sativa: Nested in a cluster of Pomatoschistus microps,coi.lerayxt
GENBANK,1084353076,Pomatoschistus minutus,REMOVE,Sativa: Nested in a cluster of Pomatoschistus microps,coi.lerayxt
GENBANK,1090894194,Myliobatis aquila,REMOVE,Blasts as Myliobatis tobijei,12s.miya
GENBANK,109179684,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,109179904,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,109179910,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,109179947,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,109179954,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,109179993,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,109180074,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,109180168,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,109180219,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,109180594,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,109180602,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,109180614,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,109180835,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,109181090,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,109181148,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,109181172,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,109181180,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,109181236,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,109181267,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,109181276,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,109181698,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,109181892,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,109181991,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,109182027,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,109182139,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,109182264,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,109182270,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,109182273,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,109182314,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,109182436,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,109185875,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,109185931,Petromyzon marinus,REMOVE,Bad quality sequence? Blasts only against itself,coi.lerayxt
GENBANK,109188470,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,114309766,Petromyzon marinus,REMOVE,Bad quality sequence? Blasts only against itself,coi.lerayxt
GENBANK,114312678,Petromyzon marinus,REMOVE,Bad quality sequence? Blasts only against itself,coi.lerayxt
GENBANK,114313716,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,114314165,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,114317896,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,114792109,Squalus acanthias,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,1153118525,Mugil cephalus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,115336432,Thunnus thynnus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,115338438,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,115338481,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,115338661,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,115338667,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,115338920,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,115338928,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,115338983,Petromyzon marinus,REMOVE,Wacky sequence very different from others,coi.lerayxt
