speciesName,status,SpecCode,validName,class,order,family,genus,commonName,commonSpecies,C_Code,country,database,databaseVersion
Acipenser sturio,accepted name,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,056,Belgium,fishbase,24.07
Accipenser sturio,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,056,Belgium,fishbase,24.07
Acipenser attilus,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,056,Belgium,fishbase,24.07
Acipenser ducissae,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,056,Belgium,fishbase,24.07
Acipenser europaeus,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,056,Belgium,fishbase,24.07
Acipenser fitzingeri,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,056,Belgium,fishbase,24.07
Acipenser fitzingerii,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,056,Belgium,fishbase,24.07
Acipenser hospitus,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,056,Belgium,fishbase,24.07
Acipenser laevissimus,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,056,Belgium,fishbase,24.07
Acipenser latirostris,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,056,Belgium,fishbase,24.07
Acipenser milberti,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,056,Belgium,fishbase,24.07
Acipenser nehelae,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,056,Belgium,fishbase,24.07
Acipenser podapos,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,056,Belgium,fishbase,24.07
Acipenser stureio,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,056,Belgium,fishbase,24.07
Acipenser sturioides,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,056,Belgium,fishbase,24.07
Acipenser valenciennii,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,056,Belgium,fishbase,24.07
Acipenser yarrellii,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,056,Belgium,fishbase,24.07
