DTNHM4988-22.COI-5P	k__Animalia; p__Chordata; c__Aplacophora; o__Not assigned; f__Chaetodermidae; g__Chaetoderma; s__nitidulum
2675761415	k__Animalia; p__Chordata; c__Appendicularia; o__Copelata; f__Oikopleuridae; g__Oikopleura; s__dioica
2731657804	k__Animalia; p__Chordata; c__Appendicularia; o__Copelata; f__Oikopleuridae; g__Oikopleura; s__dioica
3048427516	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Ascidiidae; g__Ascidiella; s__scabra
ADMAB131-23.COI-5P	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Ascidiidae; g__Ascidiella; s__scabra
MBAM164-24.COI-5P	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Ascidiidae; g__Ascidiella; s__scabra
1279397033	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397039	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397041	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397045	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397059	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397073	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397079	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397083	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397091	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397093	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397095	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397097	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397099	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397103	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397107	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397109	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397119	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397121	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397123	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397125	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397127	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397131	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397135	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397137	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397145	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397157	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397161	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397167	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397169	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397171	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397173	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397175	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397177	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397179	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397199	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397201	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397203	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397213	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397217	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397229	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397231	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397245	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397257	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397259	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397261	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397263	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397273	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397277	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397279	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397281	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397283	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1279397289	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1337388451	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
146166872	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
146166882	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
146166884	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
146166914	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
146166916	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
146166922	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
146166926	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
146166932	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
146166936	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
146166938	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
146166942	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
146166944	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
146166950	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
