C_Code,SpecCode,country,Species,database,synonym,Status,Genus,Family,Order,Class,CommonName,Fresh,Brack,Saltwater
056,9842,Belgium,Abludomelita obtusata,sealifebase,Abludomelita obtusata,accepted name,Abludomelita,Melitidae,Amphipoda,Malacostraca,NA,0,1,1
056,152101,Belgium,Abothrium gadi,sealifebase,Abothrium gadi,accepted name,Abothrium,Triaenophoridae,Bothriocephalidea,Cestoda,NA,0,0,1
056,47999,Belgium,Abra alba,sealifebase,Abra alba,accepted name,Abra,Semelidae,Cardiida,Bivalvia,White furrow shell,0,1,1
056,47999,Belgium,Abra alba,sealifebase,Syndosmya alba,synonym,Abra,Semelidae,Cardiida,Bivalvia,White furrow shell,0,1,1
056,48638,Belgium,Abra nitida,sealifebase,Abra nitida,accepted name,Abra,Semelidae,Cardiida,Bivalvia,NA,0,0,1
056,47998,Belgium,Abra prismatica,sealifebase,Abra prismatica,accepted name,Abra,Semelidae,Cardiida,Bivalvia,NA,0,0,1
056,47934,Belgium,Acanthocardia echinata,sealifebase,Acanthocardia echinata,accepted name,Acanthocardia,Cardiidae,Cardiida,Bivalvia,European prickly cockle,0,0,1
056,47934,Belgium,Acanthocardia echinata,sealifebase,Acanthocardium echinata,synonym,Acanthocardia,Cardiidae,Cardiida,Bivalvia,European prickly cockle,0,0,1
056,47934,Belgium,Acanthocardia echinata,sealifebase,Acanthocardium mucronata,synonym,Acanthocardia,Cardiidae,Cardiida,Bivalvia,European prickly cockle,0,0,1
056,47934,Belgium,Acanthocardia echinata,sealifebase,Cardium deshayesi,synonym,Acanthocardia,Cardiidae,Cardiida,Bivalvia,European prickly cockle,0,0,1
056,47934,Belgium,Acanthocardia echinata,sealifebase,Cardium duregnei,synonym,Acanthocardia,Cardiidae,Cardiida,Bivalvia,European prickly cockle,0,0,1
056,47934,Belgium,Acanthocardia echinata,sealifebase,Cardium echinatum,synonym,Acanthocardia,Cardiidae,Cardiida,Bivalvia,European prickly cockle,0,0,1
056,47934,Belgium,Acanthocardia echinata,sealifebase,Cardium flexuosum,synonym,Acanthocardia,Cardiidae,Cardiida,Bivalvia,European prickly cockle,0,0,1
056,47934,Belgium,Acanthocardia echinata,sealifebase,Cardium novum,synonym,Acanthocardia,Cardiidae,Cardiida,Bivalvia,European prickly cockle,0,0,1
056,7809,Belgium,Acanthodoris pilosa,sealifebase,Acanthodoris pilosa,accepted name,Acanthodoris,Onchidorididae,Nudibranchia,Gastropoda,Hairy spiny doris,0,0,1
056,7809,Belgium,Acanthodoris pilosa,sealifebase,Doris pillosa,synonym,Acanthodoris,Onchidorididae,Nudibranchia,Gastropoda,Hairy spiny doris,0,0,1
056,7809,Belgium,Acanthodoris pilosa,sealifebase,Doris pilosa,synonym,Acanthodoris,Onchidorididae,Nudibranchia,Gastropoda,Hairy spiny doris,0,0,1
056,20129,Belgium,Acanthomysis longicornis,sealifebase,Acanthomysis longicornis,accepted name,Acanthomysis,Mysidae,Mysida,Malacostraca,NA,0,0,1
056,20129,Belgium,Acanthomysis longicornis,sealifebase,Neomysis longicornis,synonym,Acanthomysis,Mysidae,Mysida,Malacostraca,NA,0,0,1
056,27077,Belgium,Achaeus cranchii,sealifebase,Achaeus cranchii,accepted name,Achaeus,Inachidae,Decapoda,Malacostraca,Cranch spider crab,0,0,1
056,56257,Belgium,Achelia echinata,sealifebase,Achelia echinata,accepted name,Achelia,Ammotheidae,Pantopoda,Pycnogonida,NA,0,0,1
056,9557,Belgium,Acidostoma obesum,sealifebase,Acidostoma obesum,accepted name,Acidostoma,Lysianassidae,Amphipoda,Malacostraca,NA,0,0,1
