speciesName,status,SpecCode,validName,class,order,family,genus,commonName,commonSpecies,C_Code,country,database,databaseVersion
Chaetoderma nitidulum,accepted name,87654,Chaetoderma nitidulum,Aplacophora,Not assigned,Chaetodermidae,Chaetoderma,NA,TRUE,056,Belgium,sealifebase,25.04
Chaetoderma luitfredi,synonym,87654,Chaetoderma nitidulum,Aplacophora,Not assigned,Chaetodermidae,Chaetoderma,NA,TRUE,056,Belgium,sealifebase,25.04
Chaetoderma luitfriedi,synonym,87654,Chaetoderma nitidulum,Aplacophora,Not assigned,Chaetodermidae,Chaetoderma,NA,TRUE,056,Belgium,sealifebase,25.04
Crystallophrisson luitfredi,synonym,87654,Chaetoderma nitidulum,Aplacophora,Not assigned,Chaetodermidae,Chaetoderma,NA,TRUE,056,Belgium,sealifebase,25.04
Oikopleura (Vexillaria) dioica,accepted name,103407,Oikopleura (Vexillaria) dioica,Appendicularia,Copelata,Oikopleuridae,Oikopleura,NA,TRUE,056,Belgium,worms,26.01
Appendicularia coerulescens,synonym,103407,Oikopleura (Vexillaria) dioica,Appendicularia,Copelata,Oikopleuridae,Oikopleura,NA,TRUE,056,Belgium,worms,26.01
Oikopleura dioica,synonym,103407,Oikopleura (Vexillaria) dioica,Appendicularia,Copelata,Oikopleuridae,Oikopleura,NA,TRUE,056,Belgium,worms,26.01
Oikopleura flabellum,synonym,103407,Oikopleura (Vexillaria) dioica,Appendicularia,Copelata,Oikopleuridae,Oikopleura,NA,TRUE,056,Belgium,worms,26.01
Oikopleura malmii,synonym,103407,Oikopleura (Vexillaria) dioica,Appendicularia,Copelata,Oikopleuridae,Oikopleura,NA,TRUE,056,Belgium,worms,26.01
Vexillaria flabellum,synonym,103407,Oikopleura (Vexillaria) dioica,Appendicularia,Copelata,Oikopleuridae,Oikopleura,NA,TRUE,056,Belgium,worms,26.01
Vexillaria speciosa,synonym,103407,Oikopleura (Vexillaria) dioica,Appendicularia,Copelata,Oikopleuridae,Oikopleura,NA,TRUE,056,Belgium,worms,26.01
Scaptognathus hallezi,accepted name,114990,Scaptognathus hallezi,Arachnida,Trombidiformes,Halacaridae,Scaptognathus,NA,TRUE,056,Belgium,worms,26.01
Scaptognathus neretinus,synonym,114990,Scaptognathus hallezi,Arachnida,Trombidiformes,Halacaridae,Scaptognathus,NA,TRUE,056,Belgium,worms,26.01
Gwynia capsula,accepted name,60514,Gwynia capsula,Articulata,Terebratulida,Megathyrididae,Gwynia,NA,TRUE,056,Belgium,sealifebase,25.04
Terebratula capsula,synonym,60514,Gwynia capsula,Articulata,Terebratulida,Megathyrididae,Gwynia,NA,TRUE,056,Belgium,sealifebase,25.04
Ascidiella scabra,accepted name,140925,Ascidiella scabra,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidiella,Hairy sea squirt,TRUE,056,Belgium,sealifebase,25.04
Ciona intestinalis,accepted name,53897,Ciona intestinalis,Ascidiacea,Phlebobranchia,Cionidae,Ciona,Sea vase,TRUE,056,Belgium,sealifebase,25.04
Ascidia canina,synonym,53897,Ciona intestinalis,Ascidiacea,Phlebobranchia,Cionidae,Ciona,Sea vase,TRUE,056,Belgium,sealifebase,25.04
Ascidia corrugata,synonym,53897,Ciona intestinalis,Ascidiacea,Phlebobranchia,Cionidae,Ciona,Sea vase,TRUE,056,Belgium,sealifebase,25.04
Ascidia membranosa,synonym,53897,Ciona intestinalis,Ascidiacea,Phlebobranchia,Cionidae,Ciona,Sea vase,TRUE,056,Belgium,sealifebase,25.04
Ascidia pulchella,synonym,53897,Ciona intestinalis,Ascidiacea,Phlebobranchia,Cionidae,Ciona,Sea vase,TRUE,056,Belgium,sealifebase,25.04
Ascidia virens,synonym,53897,Ciona intestinalis,Ascidiacea,Phlebobranchia,Cionidae,Ciona,Sea vase,TRUE,056,Belgium,sealifebase,25.04
Ascidia virescens,synonym,53897,Ciona intestinalis,Ascidiacea,Phlebobranchia,Cionidae,Ciona,Sea vase,TRUE,056,Belgium,sealifebase,25.04
Ascidia viridescens,synonym,53897,Ciona intestinalis,Ascidiacea,Phlebobranchia,Cionidae,Ciona,Sea vase,TRUE,056,Belgium,sealifebase,25.04
Ciona gelatinosa,synonym,53897,Ciona intestinalis,Ascidiacea,Phlebobranchia,Cionidae,Ciona,Sea vase,TRUE,056,Belgium,sealifebase,25.04
Tethyum sociabile,synonym,53897,Ciona intestinalis,Ascidiacea,Phlebobranchia,Cionidae,Ciona,Sea vase,TRUE,056,Belgium,sealifebase,25.04
Molgula manhattensis,accepted name,55063,Molgula manhattensis,Ascidiacea,Stolidobranchia,Molgulidae,Molgula,Common sea grape,TRUE,056,Belgium,sealifebase,25.04
Ascidia manhattensis,synonym,55063,Molgula manhattensis,Ascidiacea,Stolidobranchia,Molgulidae,Molgula,Common sea grape,TRUE,056,Belgium,sealifebase,25.04
Gymnocystis manhattensis,synonym,55063,Molgula manhattensis,Ascidiacea,Stolidobranchia,Molgulidae,Molgula,Common sea grape,TRUE,056,Belgium,sealifebase,25.04
Microcosmus claudicans,accepted name,55246,Microcosmus claudicans,Ascidiacea,Stolidobranchia,Pyuridae,Microcosmus,NA,TRUE,056,Belgium,sealifebase,25.04
Botryllus schlosseri,accepted name,55387,Botryllus schlosseri,Ascidiacea,Stolidobranchia,Styelidae,Botryllus,Golden star tunicate,TRUE,056,Belgium,sealifebase,25.04
Alcyonium schlosseri,synonym,55387,Botryllus schlosseri,Ascidiacea,Stolidobranchia,Styelidae,Botryllus,Golden star tunicate,TRUE,056,Belgium,sealifebase,25.04
Botryllus violaceus,synonym,55387,Botryllus schlosseri,Ascidiacea,Stolidobranchia,Styelidae,Botryllus,Golden star tunicate,TRUE,056,Belgium,sealifebase,25.04
Styela clava,accepted name,55678,Styela clava,Ascidiacea,Stolidobranchia,Styelidae,Styela,Clubbed tunicate,TRUE,056,Belgium,sealifebase,25.04
Stela clava,synonym,55678,Styela clava,Ascidiacea,Stolidobranchia,Styelidae,Styela,Clubbed tunicate,TRUE,056,Belgium,sealifebase,25.04
Styela mammiculata,synonym,55678,Styela clava,Ascidiacea,Stolidobranchia,Styelidae,Styela,Clubbed tunicate,TRUE,056,Belgium,sealifebase,25.04
Asterias rubens,accepted name,48661,Asterias rubens,Asteroidea,Forcipulatida,Asteriidae,Asterias,Common starfish,TRUE,056,Belgium,sealifebase,25.04
Asterias vulgaris,synonym,48661,Asterias rubens,Asteroidea,Forcipulatida,Asteriidae,Asterias,Common starfish,TRUE,056,Belgium,sealifebase,25.04
Hiatella arctica,accepted name,49099,Hiatella arctica,Bivalvia,Adapedonta,Hiatellidae,Hiatella,Arctic hiatella,TRUE,056,Belgium,sealifebase,25.04
Hiatella orientalis,synonym,49099,Hiatella arctica,Bivalvia,Adapedonta,Hiatellidae,Hiatella,Arctic hiatella,TRUE,056,Belgium,sealifebase,25.04
Hiatella pholadis,synonym,49099,Hiatella arctica,Bivalvia,Adapedonta,Hiatellidae,Hiatella,Arctic hiatella,TRUE,056,Belgium,sealifebase,25.04
Hiatella solida,synonym,49099,Hiatella arctica,Bivalvia,Adapedonta,Hiatellidae,Hiatella,Arctic hiatella,TRUE,056,Belgium,sealifebase,25.04
Hiatella striata,synonym,49099,Hiatella arctica,Bivalvia,Adapedonta,Hiatellidae,Hiatella,Arctic hiatella,TRUE,056,Belgium,sealifebase,25.04
Hyatella arctica,synonym,49099,Hiatella arctica,Bivalvia,Adapedonta,Hiatellidae,Hiatella,Arctic hiatella,TRUE,056,Belgium,sealifebase,25.04
Mya arctica,synonym,49099,Hiatella arctica,Bivalvia,Adapedonta,Hiatellidae,Hiatella,Arctic hiatella,TRUE,056,Belgium,sealifebase,25.04
Saxicava arctica,synonym,49099,Hiatella arctica,Bivalvia,Adapedonta,Hiatellidae,Hiatella,Arctic hiatella,TRUE,056,Belgium,sealifebase,25.04
Saxicava artica,synonym,49099,Hiatella arctica,Bivalvia,Adapedonta,Hiatellidae,Hiatella,Arctic hiatella,TRUE,056,Belgium,sealifebase,25.04
Ensis ensis,accepted name,48550,Ensis ensis,Bivalvia,Adapedonta,Pharidae,Ensis,Razor shell,TRUE,056,Belgium,sealifebase,25.04
Ensis leei,accepted name,876640,Ensis leei,Bivalvia,Adapedonta,Pharidae,Ensis,NA,TRUE,056,Belgium,worms,26.01
Ensis americanus,synonym,876640,Ensis leei,Bivalvia,Adapedonta,Pharidae,Ensis,NA,TRUE,056,Belgium,worms,26.01
Ensis arcuatus var. directus,synonym,876640,Ensis leei,Bivalvia,Adapedonta,Pharidae,Ensis,NA,TRUE,056,Belgium,worms,26.01
Ensis directus,synonym,876640,Ensis leei,Bivalvia,Adapedonta,Pharidae,Ensis,NA,TRUE,056,Belgium,worms,26.01
Solen directus,synonym,876640,Ensis leei,Bivalvia,Adapedonta,Pharidae,Ensis,NA,TRUE,056,Belgium,worms,26.01
Solen ensis var. americanus,synonym,876640,Ensis leei,Bivalvia,Adapedonta,Pharidae,Ensis,NA,TRUE,056,Belgium,worms,26.01
Ensis magnus,accepted name,48551,Ensis magnus,Bivalvia,Adapedonta,Pharidae,Ensis,Arched razor shell,TRUE,056,Belgium,sealifebase,25.04
Ensis arcuatus,synonym,48551,Ensis magnus,Bivalvia,Adapedonta,Pharidae,Ensis,Arched razor shell,TRUE,056,Belgium,sealifebase,25.04
Ensis arcuatus var. ensoides,synonym,48551,Ensis magnus,Bivalvia,Adapedonta,Pharidae,Ensis,Arched razor shell,TRUE,056,Belgium,sealifebase,25.04
Ensis arcuatus var. norvegica,synonym,48551,Ensis magnus,Bivalvia,Adapedonta,Pharidae,Ensis,Arched razor shell,TRUE,056,Belgium,sealifebase,25.04
Ensis minor,accepted name,48549,Ensis minor,Bivalvia,Adapedonta,Pharidae,Ensis,Minor jackknife,TRUE,056,Belgium,sealifebase,25.04
Ensis siliqua,accepted name,48552,Ensis siliqua,Bivalvia,Adapedonta,Pharidae,Ensis,Sword razor shell,TRUE,056,Belgium,sealifebase,25.04
Phaxas pellucidus,accepted name,46991,Phaxas pellucidus,Bivalvia,Adapedonta,Pharidae,Phaxas,Transparent razor shell,TRUE,056,Belgium,sealifebase,25.04
Solen capensis,accepted name,83858,Solen capensis,Bivalvia,Adapedonta,Solenidae,Solen,NA,TRUE,056,Belgium,sealifebase,25.04
Solen marginatus,accepted name,47879,Solen marginatus,Bivalvia,Adapedonta,Solenidae,Solen,Grooved razor clam,TRUE,056,Belgium,sealifebase,25.04
Tetrarca tetragona,accepted name,47039,Tetrarca tetragona,Bivalvia,Arcida,Arcidae,Tetrarca,NA,TRUE,056,Belgium,sealifebase,25.04
Arca tetragona,synonym,47039,Tetrarca tetragona,Bivalvia,Arcida,Arcidae,Tetrarca,NA,TRUE,056,Belgium,sealifebase,25.04
Glycymeris glycymeris,accepted name,47609,Glycymeris glycymeris,Bivalvia,Arcida,Glycymerididae,Glycymeris,Common European bittersweet,TRUE,056,Belgium,sealifebase,25.04
Striarca lactea,accepted name,47575,Striarca lactea,Bivalvia,Arcida,Noetiidae,Striarca,NA,TRUE,056,Belgium,sealifebase,25.04
Arca lactea,synonym,47575,Striarca lactea,Bivalvia,Arcida,Noetiidae,Striarca,NA,TRUE,056,Belgium,sealifebase,25.04
Striarea lactea,synonym,47575,Striarca lactea,Bivalvia,Arcida,Noetiidae,Striarca,NA,TRUE,056,Belgium,sealifebase,25.04
Acanthocardia echinata,accepted name,47934,Acanthocardia echinata,Bivalvia,Cardiida,Cardiidae,Acanthocardia,European prickly cockle,TRUE,056,Belgium,sealifebase,25.04
Acanthocardium echinata,synonym,47934,Acanthocardia echinata,Bivalvia,Cardiida,Cardiidae,Acanthocardia,European prickly cockle,TRUE,056,Belgium,sealifebase,25.04
Acanthocardium mucronata,synonym,47934,Acanthocardia echinata,Bivalvia,Cardiida,Cardiidae,Acanthocardia,European prickly cockle,TRUE,056,Belgium,sealifebase,25.04
Cardium deshayesi,synonym,47934,Acanthocardia echinata,Bivalvia,Cardiida,Cardiidae,Acanthocardia,European prickly cockle,TRUE,056,Belgium,sealifebase,25.04
Cardium duregnei,synonym,47934,Acanthocardia echinata,Bivalvia,Cardiida,Cardiidae,Acanthocardia,European prickly cockle,TRUE,056,Belgium,sealifebase,25.04
Cardium echinatum,synonym,47934,Acanthocardia echinata,Bivalvia,Cardiida,Cardiidae,Acanthocardia,European prickly cockle,TRUE,056,Belgium,sealifebase,25.04
Cardium flexuosum,synonym,47934,Acanthocardia echinata,Bivalvia,Cardiida,Cardiidae,Acanthocardia,European prickly cockle,TRUE,056,Belgium,sealifebase,25.04
Cardium novum,synonym,47934,Acanthocardia echinata,Bivalvia,Cardiida,Cardiidae,Acanthocardia,European prickly cockle,TRUE,056,Belgium,sealifebase,25.04
Cerastoderma edule,accepted name,48263,Cerastoderma edule,Bivalvia,Cardiida,Cardiidae,Cerastoderma,Common edible cockle,TRUE,056,Belgium,sealifebase,25.04
Cardium edule,synonym,48263,Cerastoderma edule,Bivalvia,Cardiida,Cardiidae,Cerastoderma,Common edible cockle,TRUE,056,Belgium,sealifebase,25.04
Laevicardium crassum,accepted name,48258,Laevicardium crassum,Bivalvia,Cardiida,Cardiidae,Laevicardium,Norwegian egg cockle,TRUE,056,Belgium,sealifebase,25.04
