source;dbid;taxon;action;note;barcode
GENBANK;261343166;Acipenser sturio;REMOVE;Sativa: Bad quality sequence?;coi.lerayxt
BOLD;EHSI111-06.COI-5P;Acipenser sturio;REMOVE;Blasts as Acipenser oxyrinchus;coi.lerayxt
GENBANK;1243412124;Alepisaurus ferox;REMOVE;Wacky sequence very different from others;coi.lerayxt
GENBANK;1243412126;Alepisaurus ferox;REMOVE;Wacky sequence very different from others;coi.lerayxt
GENBANK;1243412130;Alepisaurus ferox;REMOVE;Wacky sequence very different from others;coi.lerayxt
GENBANK;429139563;Alepocephalus bairdii;REMOVE;Blasts as Bajacalifornia megalops;coi.lerayxt
GENBANK;237847774;Alopias vulpinus;REMOVE;Wacky sequence very different from others;coi.lerayxt
GENBANK;242027502;Alopias vulpinus;REMOVE;Blasts as Alopias superciliosus;coi.lerayxt
GENBANK;242027504;Alopias vulpinus;REMOVE;Blasts as Alopias superciliosus;coi.lerayxt
GENBANK;242027506;Alopias vulpinus;REMOVE;Blasts as Alopias superciliosus;coi.lerayxt
GENBANK;242027508;Alopias vulpinus;REMOVE;Blasts as Alopias superciliosus;coi.lerayxt
GENBANK;308321069;Alopias vulpinus;REMOVE;Bad quality sequence? Blasts only against itself;coi.lerayxt
GENBANK;384369555;Alopias vulpinus;REMOVE;Blasts as Lamna nasus & Cetorhinus maximus;coi.lerayxt
BOLD;347978456;Amblyraja hyperborea;REMOVE;Sativa: Nested in a cluster of Amblyraja radiata;coi.lerayxt
BOLD;DSFIB542-14.COI-5P;Amblyraja hyperborea;REMOVE;Sativa: Nested in a cluster of Amblyraja radiata;coi.lerayxt
BOLD;SCAFB817-07.COI-5P;Amblyraja hyperborea;REMOVE;Sativa: Nested in a cluster of Amblyraja radiata;coi.lerayxt
BOLD;347978044;Amblyraja radiata;REMOVE;Wacky sequence very different from others;coi.lerayxt
GENBANK;347978072;Amblyraja radiata;REMOVE;Blasts as Leucoraja garmani & Malacoraja senta;coi.lerayxt
GENBANK;SCAFB753-07.COI-5P;Amblyraja radiata;REMOVE;Blasts as Leucoraja garmani & Malacoraja senta;coi.lerayxt
BOLD;SCFAC251-06.COI-5P;Amblyraja radiata;REMOVE;Wacky sequence very different from others;coi.lerayxt
GENBANK;1071035866;Ammodytes tobianus;REMOVE;Blasts as Hyperoplus lanceolatus;coi.lerayxt
GENBANK;1071035876;Ammodytes tobianus;REMOVE;Blasts as Hyperoplus lanceolatus;coi.lerayxt
GENBANK;1071035888;Ammodytes tobianus;REMOVE;Blasts as Hyperoplus lanceolatus;coi.lerayxt
GENBANK;1071035914;Ammodytes tobianus;REMOVE;Blasts as Hyperoplus lanceolatus;coi.lerayxt
GENBANK;1071035926;Ammodytes tobianus;REMOVE;Blasts as Hyperoplus lanceolatus;coi.lerayxt
GENBANK;1071035934;Ammodytes tobianus;REMOVE;Blasts as Hyperoplus lanceolatus;coi.lerayxt
GENBANK;1084353012;Ammodytes tobianus;REMOVE;Blasts as Hyperoplus lanceolatus;coi.lerayxt
GENBANK;1799624574;Ammodytes tobianus;REMOVE;Blasts as Hyperoplus lanceolatus;coi.lerayxt
GENBANK;2018537073;Ammodytes tobianus;REMOVE;Blasts as Hyperoplus immaculatus & Ammodytes personatus;12s.miya
GENBANK;2018537085;Ammodytes tobianus;REMOVE;Bad quality sequence?;12s.miya
GENBANK;2018537140;Ammodytes tobianus;REMOVE;Blasts as Gymnammodytes semisquamatus;12s.miya
GENBANK;MDMM009-17.COI-5P;Ammodytes tobianus;REMOVE;Blasts as Hyperoplus lanceolatus;coi.lerayxt
GENBANK;MDMM010-17.COI-5P;Ammodytes tobianus;REMOVE;Blasts as Hyperoplus lanceolatus;coi.lerayxt
BOLD;MDMM011-17.COI-5P;Ammodytes tobianus;REMOVE;Blasts as Hyperoplus lanceolatus;coi.lerayxt
