speciesName,status,SpecCode,validName,class,order,family,genus,commonName,commonSpecies,C_Code,country,database,databaseVersion
Acipenser oxyrinchus,accepted name,2593,Acipenser oxyrinchus,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Atlantic sturgeon,TRUE,826,UK,fishbase,24.07
Acipenser bairdii,synonym,2593,Acipenser oxyrinchus,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Atlantic sturgeon,TRUE,826,UK,fishbase,24.07
Acipenser girardi,synonym,2593,Acipenser oxyrinchus,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Atlantic sturgeon,TRUE,826,UK,fishbase,24.07
Acipenser hallowellii,synonym,2593,Acipenser oxyrinchus,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Atlantic sturgeon,TRUE,826,UK,fishbase,24.07
Acipenser holbrookii,synonym,2593,Acipenser oxyrinchus,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Atlantic sturgeon,TRUE,826,UK,fishbase,24.07
Acipenser kennicottii,synonym,2593,Acipenser oxyrinchus,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Atlantic sturgeon,TRUE,826,UK,fishbase,24.07
Acipenser lecontei,synonym,2593,Acipenser oxyrinchus,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Atlantic sturgeon,TRUE,826,UK,fishbase,24.07
Acipenser lichtensteinii,synonym,2593,Acipenser oxyrinchus,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Atlantic sturgeon,TRUE,826,UK,fishbase,24.07
Acipenser macrorhinus,synonym,2593,Acipenser oxyrinchus,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Atlantic sturgeon,TRUE,826,UK,fishbase,24.07
Acipenser oxyrhynchus,synonym,2593,Acipenser oxyrinchus,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Atlantic sturgeon,TRUE,826,UK,fishbase,24.07
Acipenser oxyrhynchus desotoi,synonym,2593,Acipenser oxyrinchus,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Atlantic sturgeon,TRUE,826,UK,fishbase,24.07
Acipenser oxyrhynchus oxyrhynchus,synonym,2593,Acipenser oxyrinchus,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Atlantic sturgeon,TRUE,826,UK,fishbase,24.07
Acipenser oxyrinchus de sotoi,synonym,2593,Acipenser oxyrinchus,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Atlantic sturgeon,TRUE,826,UK,fishbase,24.07
Acipenser oxyrinchus desotoi,synonym,2593,Acipenser oxyrinchus,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Atlantic sturgeon,TRUE,826,UK,fishbase,24.07
Acipenser oxyrinchus oxyrinchus,synonym,2593,Acipenser oxyrinchus,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Atlantic sturgeon,TRUE,826,UK,fishbase,24.07
Sturio accipenser,synonym,2593,Acipenser oxyrinchus,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Atlantic sturgeon,TRUE,826,UK,fishbase,24.07
Acipenser sturio,accepted name,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,056,Belgium,fishbase,24.07
Accipenser sturio,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,056,Belgium,fishbase,24.07
Acipenser attilus,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,056,Belgium,fishbase,24.07
Acipenser ducissae,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,056,Belgium,fishbase,24.07
