source,dbid,taxon,action,note,barcode
BOLD,BHAK3573-20.COI-5P,Hiatella arctica,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
BOLD,NOLI038-15.COI-5P,Macoma balthica,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
GENBANK,1004125059,Siphonenteron bilineatum,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
BOLD,KHBC006-13.COI-5P,Clytia hemisphaerica,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
BOLD,KHA563-14.COI-5P,Cyanea capillata,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
BOLD,DADB061-12.COI-5P,Capitella capitata,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
BOLD,BNSTV091-11.COI-5P,Bolinopsis infundibulum,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
BOLD,BNSTV093-11.COI-5P,Bolinopsis infundibulum,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
GENBANK,11991130,Electra pilosa,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
BOLD,KBCSM824-14.COI-5P,Periphylla periphylla,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
GENBANK,1004124895,Siphonenteron bilineatum,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
BOLD,BNSTV092-11.COI-5P,Bolinopsis infundibulum,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
BOLD,KHA369-14.COI-5P,Aurelia aurita,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
BOLD,KHA352-14.COI-5P,Aurelia aurita,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
BOLD,KHA361-14.COI-5P,Aurelia aurita,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
BOLD,KHA358-14.COI-5P,Aurelia aurita,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
BOLD,KHA350-14.COI-5P,Aurelia aurita,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
BOLD,KHA367-14.COI-5P,Aurelia aurita,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
BOLD,KHA357-14.COI-5P,Aurelia aurita,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
BOLD,KHA359-14.COI-5P,Aurelia aurita,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
GENBANK,1015468219,Procambarus clarkii,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
GENBANK,1004124921,Siphonenteron bilineatum,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
GENBANK,299017123,Spirobranchus triqueter,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
GENBANK,1004124831,Siphonenteron bilineatum,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
GENBANK,1004124851,Siphonenteron bilineatum,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
GENBANK,1430074535,Cylista troglodytes,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
BOLD,KHA362-14.COI-5P,Aurelia aurita,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
BOLD,MIWAD194-13.COI-5P,Dudekemus atlanticus,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
GENBANK,77991558,Carcinus maenas,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
