C_Code,SpecCode,country,Species,database,synonym,Status,Genus,Family,Order,Class,CommonName,Fresh,Brack,Saltwater
056,9842,Belgium,Abludomelita obtusata,sealifebase,Abludomelita obtusata,accepted name,Abludomelita,Melitidae,Amphipoda,Malacostraca,NA,0,1,1
056,152101,Belgium,Abothrium gadi,sealifebase,Abothrium gadi,accepted name,Abothrium,Triaenophoridae,Bothriocephalidea,Cestoda,NA,0,0,1
056,47999,Belgium,Abra alba,sealifebase,Abra alba,accepted name,Abra,Semelidae,Cardiida,Bivalvia,White furrow shell,0,1,1
056,47999,Belgium,Abra alba,sealifebase,Syndosmya alba,synonym,Abra,Semelidae,Cardiida,Bivalvia,White furrow shell,0,1,1
056,48638,Belgium,Abra nitida,sealifebase,Abra nitida,accepted name,Abra,Semelidae,Cardiida,Bivalvia,NA,0,0,1
056,47998,Belgium,Abra prismatica,sealifebase,Abra prismatica,accepted name,Abra,Semelidae,Cardiida,Bivalvia,NA,0,0,1
528,48000,Netherlands,Abra tenuis,sealifebase,Abra tenuis,accepted name,Abra,Semelidae,Cardiida,Bivalvia,NA,0,0,1
826,47936,UK,Acanthocardia aculeata,sealifebase,Acanthocardia aculeata,accepted name,Acanthocardia,Cardiidae,Cardiida,Bivalvia,Spiny cockle,0,0,1
826,47936,UK,Acanthocardia aculeata,sealifebase,Cardium aculeata,synonym,Acanthocardia,Cardiidae,Cardiida,Bivalvia,Spiny cockle,0,0,1
056,47934,Belgium,Acanthocardia echinata,sealifebase,Acanthocardia echinata,accepted name,Acanthocardia,Cardiidae,Cardiida,Bivalvia,European prickly cockle,0,0,1
056,47934,Belgium,Acanthocardia echinata,sealifebase,Acanthocardium echinata,synonym,Acanthocardia,Cardiidae,Cardiida,Bivalvia,European prickly cockle,0,0,1
056,47934,Belgium,Acanthocardia echinata,sealifebase,Acanthocardium mucronata,synonym,Acanthocardia,Cardiidae,Cardiida,Bivalvia,European prickly cockle,0,0,1
056,47934,Belgium,Acanthocardia echinata,sealifebase,Cardium deshayesi,synonym,Acanthocardia,Cardiidae,Cardiida,Bivalvia,European prickly cockle,0,0,1
056,47934,Belgium,Acanthocardia echinata,sealifebase,Cardium duregnei,synonym,Acanthocardia,Cardiidae,Cardiida,Bivalvia,European prickly cockle,0,0,1
056,47934,Belgium,Acanthocardia echinata,sealifebase,Cardium echinatum,synonym,Acanthocardia,Cardiidae,Cardiida,Bivalvia,European prickly cockle,0,0,1
056,47934,Belgium,Acanthocardia echinata,sealifebase,Cardium flexuosum,synonym,Acanthocardia,Cardiidae,Cardiida,Bivalvia,European prickly cockle,0,0,1
056,47934,Belgium,Acanthocardia echinata,sealifebase,Cardium novum,synonym,Acanthocardia,Cardiidae,Cardiida,Bivalvia,European prickly cockle,0,0,1
826,47937,UK,Acanthocardia tuberculata,sealifebase,Acanthocardia tubercolata,synonym,Acanthocardia,Cardiidae,Cardiida,Bivalvia,Moroccan cockles,0,0,1
826,47937,UK,Acanthocardia tuberculata,sealifebase,Acanthocardia tuberculata,accepted name,Acanthocardia,Cardiidae,Cardiida,Bivalvia,Moroccan cockles,0,0,1
826,47937,UK,Acanthocardia tuberculata,sealifebase,Cardium tuberculatum,synonym,Acanthocardia,Cardiidae,Cardiida,Bivalvia,Moroccan cockles,0,0,1
826,58405,UK,Acanthochitona crinita,sealifebase,Acanthochitona crinita,accepted name,Acanthochitona,Acanthochitonidae,Chitonida,Polyplacophora,NA,0,0,1
826,58405,UK,Acanthochitona crinita,sealifebase,Acanthochitona crinitus,synonym,Acanthochitona,Acanthochitonidae,Chitonida,Polyplacophora,NA,0,0,1
