speciesName,status,SpecCode,validName,class,order,family,genus,commonName,commonSpecies,C_Code,country,database,databaseVersion
Pycnophyes communis,accepted name,101137,Pycnophyes communis,Allomalorhagida,Allomalorhagida incertae sedis,Pycnophyidae,Pycnophyes,NA,TRUE,528,Netherlands,worms,26.01
Hyalophyes calmani,synonym,101137,Pycnophyes communis,Allomalorhagida,Allomalorhagida incertae sedis,Pycnophyidae,Pycnophyes,NA,TRUE,528,Netherlands,worms,26.01
Hyalophyes communis,synonym,101137,Pycnophyes communis,Allomalorhagida,Allomalorhagida incertae sedis,Pycnophyidae,Pycnophyes,NA,TRUE,528,Netherlands,worms,26.01
Pycnophyes calmani,synonym,101137,Pycnophyes communis,Allomalorhagida,Allomalorhagida incertae sedis,Pycnophyidae,Pycnophyes,NA,TRUE,528,Netherlands,worms,26.01
Pycnophyes denticulatus,accepted name,154506,Pycnophyes denticulatus,Allomalorhagida,Allomalorhagida incertae sedis,Pycnophyidae,Pycnophyes,NA,TRUE,826,UK,worms,26.01
Centrophyes denticulatus,synonym,154506,Pycnophyes denticulatus,Allomalorhagida,Allomalorhagida incertae sedis,Pycnophyidae,Pycnophyes,NA,TRUE,826,UK,worms,26.01
Setaphyes dentatus,accepted name,1433402,Setaphyes dentatus,Allomalorhagida,Allomalorhagida incertae sedis,Pycnophyidae,Setaphyes,NA,TRUE,528,Netherlands,worms,26.01
Echinoderes dentatus,synonym,1433402,Setaphyes dentatus,Allomalorhagida,Allomalorhagida incertae sedis,Pycnophyidae,Setaphyes,NA,TRUE,528,Netherlands,worms,26.01
Pycnophyes dentatus,synonym,1433402,Setaphyes dentatus,Allomalorhagida,Allomalorhagida incertae sedis,Pycnophyidae,Setaphyes,NA,TRUE,528,Netherlands,worms,26.01
Pycnophyes zelinkaei,accepted name,60308,Pycnophyes zelinkaei,Allomalorhagida,Not assigned,Pycnophyidae,Pycnophyes,NA,TRUE,826,UK,sealifebase,25.04
Chaetoderma nitidulum,accepted name,87654,Chaetoderma nitidulum,Aplacophora,Not assigned,Chaetodermidae,Chaetoderma,NA,TRUE,056,Belgium,sealifebase,25.04
Chaetoderma luitfredi,synonym,87654,Chaetoderma nitidulum,Aplacophora,Not assigned,Chaetodermidae,Chaetoderma,NA,TRUE,056,Belgium,sealifebase,25.04
Chaetoderma luitfriedi,synonym,87654,Chaetoderma nitidulum,Aplacophora,Not assigned,Chaetodermidae,Chaetoderma,NA,TRUE,056,Belgium,sealifebase,25.04
Crystallophrisson luitfredi,synonym,87654,Chaetoderma nitidulum,Aplacophora,Not assigned,Chaetodermidae,Chaetoderma,NA,TRUE,056,Belgium,sealifebase,25.04
Oikopleura (Vexillaria) dioica,accepted name,103407,Oikopleura (Vexillaria) dioica,Appendicularia,Copelata,Oikopleuridae,Oikopleura,NA,TRUE,056,Belgium,worms,26.01
Appendicularia coerulescens,synonym,103407,Oikopleura (Vexillaria) dioica,Appendicularia,Copelata,Oikopleuridae,Oikopleura,NA,TRUE,056,Belgium,worms,26.01
Oikopleura dioica,synonym,103407,Oikopleura (Vexillaria) dioica,Appendicularia,Copelata,Oikopleuridae,Oikopleura,NA,TRUE,056,Belgium,worms,26.01
Oikopleura flabellum,synonym,103407,Oikopleura (Vexillaria) dioica,Appendicularia,Copelata,Oikopleuridae,Oikopleura,NA,TRUE,056,Belgium,worms,26.01
Oikopleura malmii,synonym,103407,Oikopleura (Vexillaria) dioica,Appendicularia,Copelata,Oikopleuridae,Oikopleura,NA,TRUE,056,Belgium,worms,26.01
Vexillaria flabellum,synonym,103407,Oikopleura (Vexillaria) dioica,Appendicularia,Copelata,Oikopleuridae,Oikopleura,NA,TRUE,056,Belgium,worms,26.01
Vexillaria speciosa,synonym,103407,Oikopleura (Vexillaria) dioica,Appendicularia,Copelata,Oikopleuridae,Oikopleura,NA,TRUE,056,Belgium,worms,26.01
Scaptognathus hallezi,accepted name,114990,Scaptognathus hallezi,Arachnida,Trombidiformes,Halacaridae,Scaptognathus,NA,TRUE,056,Belgium,worms,26.01
Scaptognathus neretinus,synonym,114990,Scaptognathus hallezi,Arachnida,Trombidiformes,Halacaridae,Scaptognathus,NA,TRUE,056,Belgium,worms,26.01
Terebratulina retusa,accepted name,60346,Terebratulina retusa,Articulata,Terebratulida,Cancellothyrididae,Terebratulina,NA,TRUE,826,UK,sealifebase,25.04
Anomia retusa,synonym,60346,Terebratulina retusa,Articulata,Terebratulida,Cancellothyrididae,Terebratulina,NA,TRUE,826,UK,sealifebase,25.04
Terebratulina caput-serpentis,synonym,60346,Terebratulina retusa,Articulata,Terebratulida,Cancellothyrididae,Terebratulina,NA,TRUE,826,UK,sealifebase,25.04
Terebratulina caputserpentis,synonym,60346,Terebratulina retusa,Articulata,Terebratulida,Cancellothyrididae,Terebratulina,NA,TRUE,826,UK,sealifebase,25.04
Dallina septigera,accepted name,60359,Dallina septigera,Articulata,Terebratulida,Dallinidae,Dallina,NA,TRUE,826,UK,sealifebase,25.04
Magellania septigera,synonym,60359,Dallina septigera,Articulata,Terebratulida,Dallinidae,Dallina,NA,TRUE,826,UK,sealifebase,25.04
Glaciarcula spitzbergensis,accepted name,60519,Glaciarcula spitzbergensis,Articulata,Terebratulida,Dallinidae,Glaciarcula,NA,TRUE,826,UK,sealifebase,25.04
Terebratella spitzbergensis,synonym,60519,Glaciarcula spitzbergensis,Articulata,Terebratulida,Dallinidae,Glaciarcula,NA,TRUE,826,UK,sealifebase,25.04
Macandrevia cranium,accepted name,60533,Macandrevia cranium,Articulata,Terebratulida,Laqueidae,Macandrevia,NA,TRUE,826,UK,sealifebase,25.04
Terebratula cranium,synonym,60533,Macandrevia cranium,Articulata,Terebratulida,Laqueidae,Macandrevia,NA,TRUE,826,UK,sealifebase,25.04
Argyrotheca cistellula,accepted name,60349,Argyrotheca cistellula,Articulata,Terebratulida,Megathyrididae,Argyrotheca,NA,TRUE,826,UK,sealifebase,25.04
Terebratula cistellula,synonym,60349,Argyrotheca cistellula,Articulata,Terebratulida,Megathyrididae,Argyrotheca,NA,TRUE,826,UK,sealifebase,25.04
Gwynia capsula,accepted name,60514,Gwynia capsula,Articulata,Terebratulida,Megathyrididae,Gwynia,NA,TRUE,826,UK,sealifebase,25.04
Terebratula capsula,synonym,60514,Gwynia capsula,Articulata,Terebratulida,Megathyrididae,Gwynia,NA,TRUE,826,UK,sealifebase,25.04
Platidia anomioides,accepted name,60352,Platidia anomioides,Articulata,Terebratulida,Platidiidae,Platidia,NA,TRUE,826,UK,sealifebase,25.04
Orthis anomioides,synonym,60352,Platidia anomioides,Articulata,Terebratulida,Platidiidae,Platidia,NA,TRUE,826,UK,sealifebase,25.04
Platidia marionensis,synonym,60352,Platidia anomioides,Articulata,Terebratulida,Platidiidae,Platidia,NA,TRUE,826,UK,sealifebase,25.04
Platydia anomioides,synonym,60352,Platidia anomioides,Articulata,Terebratulida,Platidiidae,Platidia,NA,TRUE,826,UK,sealifebase,25.04
Clavelina lepadiformis,accepted name,53924,Clavelina lepadiformis,Ascidiacea,Aplousobranchia,Clavelinidae,Clavelina,Light-bulb ascidian,TRUE,826,UK,sealifebase,25.04
Didemnum fulgens,accepted name,53638,Didemnum fulgens,Ascidiacea,Aplousobranchia,Didemnidae,Didemnum,NA,TRUE,826,UK,sealifebase,25.04
Didemnum lahillei,accepted name,51975,Didemnum lahillei,Ascidiacea,Aplousobranchia,Didemnidae,Didemnum,NA,TRUE,528,Netherlands,sealifebase,25.04
Didemnum maculosum,accepted name,53926,Didemnum maculosum,Ascidiacea,Aplousobranchia,Didemnidae,Didemnum,NA,TRUE,826,UK,sealifebase,25.04
Didemnum asperum,synonym,53926,Didemnum maculosum,Ascidiacea,Aplousobranchia,Didemnidae,Didemnum,NA,TRUE,826,UK,sealifebase,25.04
Diplosoma listerianum,accepted name,54011,Diplosoma listerianum,Ascidiacea,Aplousobranchia,Didemnidae,Diplosoma,Gray encrusting compound tunicate,TRUE,528,Netherlands,sealifebase,25.04
Diplosoma macdonaldi,synonym,54011,Diplosoma listerianum,Ascidiacea,Aplousobranchia,Didemnidae,Diplosoma,Gray encrusting compound tunicate,TRUE,528,Netherlands,sealifebase,25.04
Leptoclinum listerianum,synonym,54011,Diplosoma listerianum,Ascidiacea,Aplousobranchia,Didemnidae,Diplosoma,Gray encrusting compound tunicate,TRUE,528,Netherlands,sealifebase,25.04
Trididemnum cereum,accepted name,54222,Trididemnum cereum,Ascidiacea,Aplousobranchia,Didemnidae,Trididemnum,NA,TRUE,826,UK,sealifebase,25.04
Aplidium pallidum,accepted name,54708,Aplidium pallidum,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,NA,TRUE,826,UK,sealifebase,25.04
Amaroucium pallidum,synonym,54708,Aplidium pallidum,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,NA,TRUE,826,UK,sealifebase,25.04
Aplidium despectum,synonym,54708,Aplidium pallidum,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,NA,TRUE,826,UK,sealifebase,25.04
Aplidium proliferum,accepted name,54721,Aplidium proliferum,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,NA,TRUE,826,UK,sealifebase,25.04
Amaroucium proliferum,synonym,54721,Aplidium proliferum,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,NA,TRUE,826,UK,sealifebase,25.04
Polyclinum aurantium,accepted name,54788,Polyclinum aurantium,Ascidiacea,Aplousobranchia,Polyclinidae,Polyclinum,NA,TRUE,528,Netherlands,sealifebase,25.04
Ascidia callosa,accepted name,53807,Ascidia callosa,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidia,Sea blister,TRUE,826,UK,sealifebase,25.04
Ascidia adhaerens,synonym,53807,Ascidia callosa,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidia,Sea blister,TRUE,826,UK,sealifebase,25.04
Ascidia conchilega,accepted name,53816,Ascidia conchilega,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidia,NA,TRUE,826,UK,sealifebase,25.04
Ascidia mentula,accepted name,53842,Ascidia mentula,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidia,NA,TRUE,826,UK,sealifebase,25.04
Ascidia obliqua,accepted name,53849,Ascidia obliqua,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidia,NA,TRUE,826,UK,sealifebase,25.04
Phallusioides obliqua,synonym,53849,Ascidia obliqua,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidia,NA,TRUE,826,UK,sealifebase,25.04
Ascidia virginea,accepted name,53875,Ascidia virginea,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidia,NA,TRUE,826,UK,sealifebase,25.04
Ascidiella aspersa,accepted name,53878,Ascidiella aspersa,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidiella,Dirty sea squirt,TRUE,528,Netherlands,sealifebase,25.04
Ascidia aspersa,synonym,53878,Ascidiella aspersa,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidiella,Dirty sea squirt,TRUE,528,Netherlands,sealifebase,25.04
Ascidiella scabra,accepted name,140925,Ascidiella scabra,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidiella,Hairy sea squirt,TRUE,056,Belgium,sealifebase,25.04
Ciona intestinalis,accepted name,53897,Ciona intestinalis,Ascidiacea,Phlebobranchia,Cionidae,Ciona,Sea vase,TRUE,528,Netherlands,sealifebase,25.04
Ascidia canina,synonym,53897,Ciona intestinalis,Ascidiacea,Phlebobranchia,Cionidae,Ciona,Sea vase,TRUE,528,Netherlands,sealifebase,25.04
Ascidia corrugata,synonym,53897,Ciona intestinalis,Ascidiacea,Phlebobranchia,Cionidae,Ciona,Sea vase,TRUE,528,Netherlands,sealifebase,25.04
Ascidia membranosa,synonym,53897,Ciona intestinalis,Ascidiacea,Phlebobranchia,Cionidae,Ciona,Sea vase,TRUE,528,Netherlands,sealifebase,25.04
Ascidia pulchella,synonym,53897,Ciona intestinalis,Ascidiacea,Phlebobranchia,Cionidae,Ciona,Sea vase,TRUE,528,Netherlands,sealifebase,25.04
Ascidia virens,synonym,53897,Ciona intestinalis,Ascidiacea,Phlebobranchia,Cionidae,Ciona,Sea vase,TRUE,528,Netherlands,sealifebase,25.04
Ascidia virescens,synonym,53897,Ciona intestinalis,Ascidiacea,Phlebobranchia,Cionidae,Ciona,Sea vase,TRUE,528,Netherlands,sealifebase,25.04
Ascidia viridescens,synonym,53897,Ciona intestinalis,Ascidiacea,Phlebobranchia,Cionidae,Ciona,Sea vase,TRUE,528,Netherlands,sealifebase,25.04
Ciona gelatinosa,synonym,53897,Ciona intestinalis,Ascidiacea,Phlebobranchia,Cionidae,Ciona,Sea vase,TRUE,528,Netherlands,sealifebase,25.04
Tethyum sociabile,synonym,53897,Ciona intestinalis,Ascidiacea,Phlebobranchia,Cionidae,Ciona,Sea vase,TRUE,528,Netherlands,sealifebase,25.04
Corella parallelogramma,accepted name,53215,Corella parallelogramma,Ascidiacea,Phlebobranchia,Corellidae,Corella,Gas mantle ascidian,TRUE,826,UK,sealifebase,25.04
Molgula citrina,accepted name,55019,Molgula citrina,Ascidiacea,Stolidobranchia,Molgulidae,Molgula,Sea grape,TRUE,826,UK,sealifebase,25.04
Caesira citrina,synonym,55019,Molgula citrina,Ascidiacea,Stolidobranchia,Molgulidae,Molgula,Sea grape,TRUE,826,UK,sealifebase,25.04
Molgula complanata,accepted name,55021,Molgula complanata,Ascidiacea,Stolidobranchia,Molgulidae,Molgula,NA,TRUE,826,UK,sealifebase,25.04
Lithonephrya complanata,synonym,55021,Molgula complanata,Ascidiacea,Stolidobranchia,Molgulidae,Molgula,NA,TRUE,826,UK,sealifebase,25.04
Molgula manhattensis,accepted name,55063,Molgula manhattensis,Ascidiacea,Stolidobranchia,Molgulidae,Molgula,Common sea grape,TRUE,056,Belgium,sealifebase,25.04
Ascidia manhattensis,synonym,55063,Molgula manhattensis,Ascidiacea,Stolidobranchia,Molgulidae,Molgula,Common sea grape,TRUE,056,Belgium,sealifebase,25.04
Gymnocystis manhattensis,synonym,55063,Molgula manhattensis,Ascidiacea,Stolidobranchia,Molgulidae,Molgula,Common sea grape,TRUE,056,Belgium,sealifebase,25.04
