sciNameValid,sciNameValidAmended
Acartia (Acanthacartia) bifilosa,Acartia bifilosa
Acartia (Acanthacartia) tonsa,Acartia tonsa
Acartia (Acartiura) clausii,Acartia clausii
Acartia (Acartiura) longiremis,Acartia longiremis
Aricidea (Aricidea) minuta,Aricidea minuta
Aricidea (Aricidea) wassi,Aricidea wassi
Caryophyllia (Caryophyllia) inornata,Caryophyllia inornata
Dercitus (Dercitus) bucklandi,Dercitus bucklandi
Epimeria (Epimeria) cornigera,Epimeria cornigera
Golfingia (Golfingia) vulgaris vulgaris,Golfingia vulgaris vulgaris
Halichondria (Halichondria) bowerbanki,Halichondria bowerbanki
Halichondria (Halichondria) panicea,Halichondria panicea
Haliclona (Haliclona) oculata,Haliclona oculata
Jaera (Jaera) albifrons,Jaera albifrons
Lepas (Lepas) anatifera,Lepas anatifera
Lepas (Lepas) anserifera,Lepas anserifera
Leptasterias (Leptasterias) muelleri,Leptasterias muelleri
Myxilla (Myxilla) incrustans,Myxilla incrustans
Oikopleura (Vexillaria) dioica,Oikopleura dioica
Paramysis (Longidentia) nouveli,Paramysis nouveli
Penaeus (Litopenaeus) vannamei,Penaeus vannamei
Phascolion (Phascolion) strombus strombus,Phascolion strombus strombus
Sagartia (Cylista) viduata,Sagartia viduata
Scolelepis (Scolelepis) foliosa,Scolelepis foliosa
Scolelepis (Scolelepis) squamata,Scolelepis squamata
Sipunculus (Sipunculus) nudus,Sipunculus nudus
Sphenotrochus (Sphenotrochus) andrewianus,Sphenotrochus andrewianus
Spirorbis (Spirorbis) spirorbis,Spirorbis spirorbis
Tomopteris (Johnstonella) helgolandica,Tomopteris helgolandica
Aricidea (Acmira) cerrutii,Aricidea cerrutii
Aricidea (Strelzovia) suecica,Aricidea suecica
Aspidosiphon (Aspidosiphon) muelleri muelleri,Aspidosiphon muelleri muelleri
Acartia bifilosa,Acartia (Acanthacartia) bifilosa
Acartia clausii,Acartia (Acartiura) clausii
Acartia longiremis,Acartia (Acartiura) longiremis
Acartia tonsa,Acartia (Acanthacartia) tonsa
Aricidea minuta,Aricidea (Aricidea) minuta
Aricidea wassi,Aricidea (Aricidea) wassi
Caryophyllia inornata,Caryophyllia (Caryophyllia) inornata
Dercitus bucklandi,Dercitus (Dercitus) bucklandi
Epimeria cornigera,Epimeria (Epimeria) cornigera
Golfingia vulgaris vulgaris,Golfingia (Golfingia) vulgaris vulgaris
Halichondria bowerbanki,Halichondria (Halichondria) bowerbanki
Halichondria panicea,Halichondria (Halichondria) panicea
Haliclona oculata,Haliclona (Haliclona) oculata
Jaera albifrons,Jaera (Jaera) albifrons
Lepas anatifera,Lepas (Lepas) anatifera
Lepas anserifera,Lepas (Lepas) anserifera
Leptasterias muelleri,Leptasterias (Leptasterias) muelleri
Myxilla incrustans,Myxilla (Myxilla) incrustans
Oikopleura dioica,Oikopleura (Vexillaria) dioica
Paramysis nouveli,Paramysis (Longidentia) nouveli
Penaeus vannamei,Penaeus (Litopenaeus) vannamei
Sagartia viduata,Sagartia (Cylista) viduata
Scolelepis foliosa,Scolelepis (Scolelepis) foliosa
Scolelepis squamata,Scolelepis (Scolelepis) squamata
Sipunculus nudus,Sipunculus (Sipunculus) nudus
Tomopteris helgolandica,Tomopteris (Johnstonella) helgolandica
